#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 10090, 4,    -0.14, 3,   boost,   25.31,  85502.00, 1409.24,   21.56,   32.66, 44.5, 4.12, 4.14, 4.14
6, 10090, 4,    -0.13, 3,   boost,   26.66,  85489.00, 1410.48,   22.80,   33.15, 44.5, 4.14, 4.14, 4.14
6, 10090, 4,    -0.12, 3,   boost,   28.05,  85494.00, 1410.00,   22.33,   33.65, 44.5, 4.14, 4.14, 4.14
6, 10090, 4,    -0.11, 3,   boost,   29.50,  85472.00, 1412.10,   24.43,   34.15, 44.5, 4.14, 4.14, 4.14
6, 10090, 4,    -0.10, 3,   boost,   30.99,  85488.00, 1410.58,   22.90,   34.66, 44.5, 4.14, 4.14, 4.14
6, 10090, 4,    -0.09, 3,   boost,   32.53,  85467.00, 1412.58,   24.91,   35.18, 44.5, 4.14, 4.14, 4.14
6, 10090, 4,    -0.08, 3,   boost,   34.12,  85459.00, 1413.35,   25.67,   35.71, 44.5, 4.14, 4.14, 4.14
6, 10090, 4,    -0.07, 3,   boost,   35.74,  85453.00, 1413.92,   26.24,   36.24, 44.5, 4.14, 4.14, 4.14
6, 10090, 4,    -0.06, 3,   boost,   37.39,  85443.00, 1414.88,   27.20,   36.77, 44.5, 4.14, 4.14, 4.15
6, 10090, 4,    -0.05, 3,   boost,   39.08,  85439.00, 1415.26,   27.58,   37.32, 44.5, 4.12, 4.14, 4.15
6, 10090, 4,    -0.04, 3,   boost,   40.79,  85438.00, 1415.35,   27.68,   37.87, 44.5, 4.12, 4.15, 4.14
6, 10090, 4,    -0.03, 3,   boost,   42.52,  85424.00, 1416.69,   29.02,   38.43, 44.5, 4.14, 4.14, 4.14
6, 10090, 4,    -0.02, 3,   boost,   44.26,  85416.00, 1417.46,   29.78,   38.99, 44.5, 4.14, 4.14, 4.14
6, 10090, 4,    -0.01, 3,   boost,   46.00,  85407.00, 1418.32,   30.64,   39.56, 44.5, 4.14, 4.14, 4.14
6, 10090, 4,     0.00, 3,   boost,   47.75,  85404.00, 1418.60,   30.93,   40.14, 44.5, 4.14, 4.14, 4.14
6, 10090, 4,     0.00, 3,   boost,   47.75,  85404.00, 1418.60,   30.93,   40.14, 44.5, 4.14, 4.14, 4.14
6, 10090, 4,     0.00, 3,   boost,   47.75,  85404.00, 1418.60,   30.93,   40.14, 44.5, 4.14, 4.14, 4.14
6, 10090, 4,     0.00, 3,   boost,   47.75,  85404.00, 1418.60,   30.93,   40.14, 44.5, 4.14, 4.14, 4.14
6, 10090, 4,     0.00, 3,   boost,   47.75,  85404.00, 1418.60,   30.93,   40.14, 44.5, 4.14, 4.14, 4.14
