#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 13491, 2,    -0.62, 3,   boost,   15.31, 100793.00,   44.38,    7.60,   18.76, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.61, 3,   boost,   16.13, 100790.00,   44.63,    7.86,   19.06, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.60, 3,   boost,   16.97, 100791.00,   44.55,    7.77,   19.36, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.59, 3,   boost,   17.85, 100792.00,   44.46,    7.69,   19.66, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.58, 3,   boost,   18.75, 100787.00,   44.88,    8.11,   19.97, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.57, 3,   boost,   19.69, 100780.00,   45.47,    8.69,   20.28, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.56, 3,   boost,   20.65, 100773.00,   46.05,    9.28,   20.60, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.55, 3,   boost,   21.63, 100781.00,   45.38,    8.61,   20.92, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.54, 3,   boost,   22.63, 100776.00,   45.80,    9.03,   21.25, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.53, 3,   boost,   23.65, 100774.00,   45.97,    9.19,   21.57, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.52, 3,   boost,   24.69, 100763.00,   46.89,   10.11,   21.91, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.51, 3,   boost,   25.74, 100766.00,   46.64,    9.86,   22.24, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.50, 3,   boost,   26.79, 100771.00,   46.22,    9.44,   22.58, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.49, 3,   boost,   27.85, 100763.00,   46.89,   10.11,   22.93, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.48, 3,   boost,   28.91, 100762.00,   46.97,   10.20,   23.28, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.47, 3,   boost,   29.96, 100756.00,   47.47,   10.70,   23.63, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.46, 3,   boost,   31.01, 100757.00,   47.39,   10.61,   23.99, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.45, 3,   boost,   32.03, 100755.00,   47.56,   10.78,   24.35, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.44, 3,   boost,   33.04, 100748.00,   48.14,   11.37,   24.71, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.43, 3,   boost,   34.02, 100758.00,   47.31,   10.53,   25.08, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.42, 3,   boost,   34.97, 100752.00,   47.81,   11.03,   25.46, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.41, 3,   boost,   35.89, 100742.00,   48.64,   11.87,   25.83, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.40, 3,   boost,   36.77, 100742.00,   48.64,   11.87,   26.22, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.39, 3,   boost,   37.61, 100742.00,   48.64,   11.87,   26.60, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.38, 3,   boost,   38.41, 100734.00,   49.31,   12.54,   26.99, 21.0, 4.01, 3.98, 3.96
6, 13491, 2,    -0.37, 3,   boost,   39.16, 100734.00,   49.31,   12.54,   27.39, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.36, 3,   boost,   39.86, 100724.00,   50.15,   13.37,   27.79, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.35, 3,   boost,   40.51, 100723.00,   50.23,   13.46,   28.19, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.34, 3,   boost,   41.12, 100719.00,   50.57,   13.79,   28.60, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.33, 3,   boost,   41.68, 100714.00,   50.99,   14.21,   29.01, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.32, 3,   boost,   42.19, 100710.00,   51.32,   14.55,   29.42, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.31, 3,   boost,   42.66, 100711.00,   51.24,   14.46,   29.84, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.30, 3,   boost,   43.08, 100702.00,   51.99,   15.21,   30.27, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.29, 3,   boost,   43.47, 100700.00,   52.16,   15.38,   30.69, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.28, 3,   boost,   43.82, 100690.00,   52.99,   16.22,   31.12, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.27, 3,   boost,   44.15, 100694.00,   52.66,   15.88,   31.56, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.26, 3,   boost,   44.44, 100691.00,   52.91,   16.14,   32.00, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.25, 3,   boost,   44.71, 100687.00,   53.24,   16.47,   32.44, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.24, 3,   boost,   44.97, 100673.00,   54.42,   17.64,   32.89, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.23, 3,   boost,   45.21, 100683.00,   53.58,   16.80,   33.34, 21.0, 4.01, 3.98, 3.97
6, 13491, 2,    -0.22, 3,   boost,   45.44, 100670.00,   54.67,   17.89,   33.79, 21.0, 4.01, 3.98, 3.96
