#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 10107, 2,    -0.14, 3,   boost,   25.41,  85538.00, 1405.80,   21.65,   32.57, 44.1, 4.14, 4.12, 4.08
6, 10107, 2,    -0.13, 3,   boost,   26.76,  85538.00, 1405.80,   21.65,   33.06, 44.1, 4.15, 4.11, 4.08
6, 10107, 2,    -0.12, 3,   boost,   28.17,  85529.00, 1406.66,   22.51,   33.56, 44.1, 4.15, 4.12, 4.08
6, 10107, 2,    -0.11, 3,   boost,   29.62,  85521.00, 1407.42,   23.27,   34.06, 44.1, 4.15, 4.12, 4.08
6, 10107, 2,    -0.10, 3,   boost,   31.12,  85519.00, 1407.62,   23.46,   34.58, 44.1, 4.14, 4.12, 4.08
6, 10107, 2,    -0.09, 3,   boost,   32.67,  85506.00, 1408.86,   24.71,   35.10, 44.1, 4.14, 4.12, 4.08
6, 10107, 2,    -0.08, 3,   boost,   34.26,  85506.00, 1408.86,   24.71,   35.62, 44.1, 4.14, 4.12, 4.08
6, 10107, 2,    -0.07, 3,   boost,   35.88,  85488.00, 1410.58,   26.43,   36.16, 44.1, 4.14, 4.12, 4.08
6, 10107, 2,    -0.06, 3,   boost,   37.55,  85477.00, 1411.63,   27.48,   36.70, 44.1, 4.14, 4.12, 4.08
6, 10107, 2,    -0.05, 3,   boost,   39.24,  85472.00, 1412.10,   27.95,   37.24, 44.1, 4.14, 4.12, 4.08
6, 10107, 2,    -0.04, 3,   boost,   40.96,  85471.00, 1412.20,   28.05,   37.79, 44.1, 4.14, 4.12, 4.08
6, 10107, 2,    -0.03, 3,   boost,   42.70,  85458.00, 1413.44,   29.29,   38.35, 44.1, 4.14, 4.12, 4.08
6, 10107, 2,    -0.02, 3,   boost,   44.45,  85446.00, 1414.59,   30.44,   38.92, 44.1, 4.14, 4.12, 4.08
6, 10107, 2,    -0.01, 3,   boost,   46.20,  85449.00, 1414.30,   30.15,   39.49, 44.1, 4.14, 4.12, 4.08
6, 10107, 2,     0.00, 3,   boost,   47.96,  85431.00, 1416.02,   31.87,   40.07, 44.1, 4.14, 4.12, 4.08
6, 10107, 2,     0.00, 3,   boost,   47.96,  85431.00, 1416.02,   31.87,   40.07, 44.1, 4.14, 4.12, 4.08
6, 10107, 2,     0.00, 3,   boost,   47.96,  85431.00, 1416.02,   31.87,   40.07, 44.1, 4.14, 4.12, 4.08
6, 10107, 2,     0.00, 3,   boost,   47.96,  85431.00, 1416.02,   31.87,   40.07, 44.1, 4.14, 4.12, 4.08
6, 10107, 2,     0.00, 3,   boost,   47.96,  85431.00, 1416.02,   31.87,   40.07, 44.1, 4.14, 4.12, 4.08
6, 10107, 2,     0.00, 3,   boost,   47.96,  85431.00, 1416.02,   31.87,   40.07, 44.1, 4.14, 4.12, 4.08
6, 10107, 2,     0.00, 3,   boost,   47.96,  85431.00, 1416.02,   31.87,   40.07, 44.1, 4.14, 4.12, 4.08
6, 10107, 2,     0.00, 3,   boost,   47.96,  85431.00, 1416.02,   31.87,   40.07, 44.1, 4.14, 4.12, 4.08
6, 10107, 2,     0.00, 3,   boost,   47.96,  85431.00, 1416.02,   31.87,   40.07, 44.1, 4.14, 4.12, 4.08
6, 10107, 2,     0.00, 3,   boost,   47.96,  85431.00, 1416.02,   31.87,   40.07, 44.1, 4.14, 4.12, 4.08
6, 10107, 2,     0.00, 3,   boost,   47.96,  85431.00, 1416.02,   31.87,   40.07, 44.1, 4.14, 4.12, 4.08
6, 10107, 2,     0.00, 3,   boost,   47.96,  85431.00, 1416.02,   31.87,   40.07, 44.1, 4.14, 4.12, 4.08
6, 10107, 2,     0.00, 3,   boost,   47.96,  85431.00, 1416.02,   31.87,   40.07, 44.1, 4.14, 4.12, 4.08
6, 10107, 2,     0.00, 3,   boost,   47.96,  85431.00, 1416.02,   31.87,   40.07, 44.1, 4.14, 4.12, 4.08
