UTCTIME,UNIXTIME,ALT,LAT,LON,#SATS,FIX,HORZV,VERTV,HEAD,FLAGS,>40,>32,>24,RSSI,BATT,Altitude AGL,Launch detection,Apogee detection,Landing detection,Distance (feet)
Dec 08 2024 18:25:55.899 UTC,1733700355.899,62.3,39.08240,-75.87523,26,3,0,0,-95,1,5,13,4,-36,3.842,0.3,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:56.000 UTC,1733700356.0,62.3,39.08240,-75.87523,26,3,0,0,-73,1,4,14,4,-36,3.842,0.3,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:56.199 UTC,1733700356.199,62.3,39.08240,-75.87523,26,3,0,0,-59,1,5,13,4,-37,3.842,0.3,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:56.299 UTC,1733700356.299,62.3,39.08240,-75.87523,26,3,0,0,0,1,5,13,4,-37,3.842,0.3,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:56.399 UTC,1733700356.399,62.3,39.08240,-75.87523,26,3,0,0,-41,1,5,13,4,-37,3.84,0.3,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:56.499 UTC,1733700356.499,62.3,39.08240,-75.87523,27,3,0,0,-145,1,5,13,4,-37,3.84,0.3,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:56.599 UTC,1733700356.599,62.2,39.08240,-75.87523,27,3,0,0,91,1,4,14,4,-37,3.84,0.2,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:56.699 UTC,1733700356.699,62.3,39.08240,-75.87523,26,3,0,0,-168,1,4,14,4,-37,3.84,0.3,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:56.799 UTC,1733700356.799,62.3,39.08240,-75.87523,27,3,0,0,-9,1,4,14,4,-37,3.84,0.3,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:56.899 UTC,1733700356.899,62.2,39.08240,-75.87523,27,3,0,0,-68,1,5,13,4,-37,3.84,0.2,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:57.000 UTC,1733700357.0,62.2,39.08240,-75.87523,27,3,0,0,142,1,5,13,4,-37,3.84,0.2,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:57.199 UTC,1733700357.199,62.2,39.08240,-75.87523,27,3,0,0,-121,1,5,13,4,-37,3.84,0.2,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:57.299 UTC,1733700357.299,62.3,39.08240,-75.87523,26,3,0,0,145,1,5,13,4,-37,3.84,0.3,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:57.399 UTC,1733700357.399,62.3,39.08240,-75.87523,26,3,0,0,32,1,5,13,4,-37,3.84,0.3,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:57.499 UTC,1733700357.499,62.3,39.08240,-75.87523,26,3,0,0,-172,1,4,14,4,-37,3.84,0.3,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:57.599 UTC,1733700357.599,62.3,39.08240,-75.87523,27,3,0,0,-48,1,5,13,4,-37,3.84,0.3,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:57.799 UTC,1733700357.799,62.3,39.08240,-75.87523,27,3,0,0,-38,1,5,13,4,-37,3.84,0.3,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:57.899 UTC,1733700357.899,62.3,39.08240,-75.87523,27,3,0,0,141,1,5,13,4,-37,3.84,0.3,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:58.000 UTC,1733700358.0,62.3,39.08240,-75.87523,27,3,0,0,-63,1,5,13,4,-37,3.84,0.3,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:58.199 UTC,1733700358.199,62.2,39.08240,-75.87523,27,3,0,0,-120,1,5,13,4,-36,3.84,0.2,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:58.299 UTC,1733700358.299,62.2,39.08240,-75.87523,27,3,0,0,-66,1,4,14,4,-36,3.84,0.2,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:58.399 UTC,1733700358.399,62.2,39.08240,-75.87523,27,3,0,0,62,1,5,13,4,-36,3.84,0.2,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:58.499 UTC,1733700358.499,62.2,39.08240,-75.87523,27,3,0,0,-164,1,5,13,4,-36,3.84,0.2,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:58.599 UTC,1733700358.599,62.2,39.08240,-75.87523,27,3,0,0,-56,1,5,13,4,-36,3.842,0.2,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:58.799 UTC,1733700358.799,62.2,39.08240,-75.87523,27,3,0,0,111,1,5,13,4,-36,3.842,0.2,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:58.899 UTC,1733700358.899,62.2,39.08240,-75.87523,27,3,0,0,167,1,5,13,4,-36,3.842,0.2,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:59.000 UTC,1733700359.0,62.2,39.08240,-75.87523,27,3,0,0,-50,1,5,13,4,-36,3.842,0.2,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:59.199 UTC,1733700359.199,62.2,39.08240,-75.87523,27,3,0,0,153,1,5,13,4,-36,3.842,0.2,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:59.299 UTC,1733700359.299,62.2,39.08240,-75.87523,27,3,0,0,-99,1,5,13,4,-36,3.842,0.2,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:59.399 UTC,1733700359.399,62.2,39.08240,-75.87523,27,3,0,0,-158,1,5,13,4,-36,3.842,0.2,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:59.499 UTC,1733700359.499,62.2,39.08240,-75.87523,27,3,0,0,113,1,5,13,4,-36,3.842,0.2,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:59.599 UTC,1733700359.599,62.5,39.08240,-75.87523,27,3,0,5,61,1,4,14,4,-36,3.842,0.5,FALSE,FALSE,FALSE,0.0000
Dec 08 2024 18:25:59.699 UTC,1733700359.699,63.9,39.08240,-75.87522,25,3,2,20,34,1,4,12,5,-36,3.842,1.9,TRUE,FALSE,FALSE,2.1603
Dec 08 2024 18:25:59.799 UTC,1733700359.799,66.8,39.08240,-75.87522,25,3,3,35,41,1,4,12,5,-36,3.842,4.8,TRUE,FALSE,FALSE,2.1603
Dec 08 2024 18:25:59.899 UTC,1733700359.899,70.9,39.08240,-75.87522,26,3,4,46,69,1,4,11,6,-36,3.842,8.9,TRUE,FALSE,FALSE,2.5713
Dec 08 2024 18:26:00.000 UTC,1733700360.0,76.3,39.08240,-75.87522,25,3,6,59,77,1,3,11,7,-36,3.842,14.3,TRUE,FALSE,FALSE,2.5713
Dec 08 2024 18:26:00.199 UTC,1733700360.199,90.4,39.08240,-75.87522,24,3,2,81,55,1,3,9,7,-31,3.842,28.4,TRUE,FALSE,FALSE,2.5713
Dec 08 2024 18:26:00.299 UTC,1733700360.299,99.1,39.08240,-75.87521,23,3,3,93,60,1,3,9,7,-31,3.842,37.1,TRUE,FALSE,FALSE,4.5401
Dec 08 2024 18:26:00.399 UTC,1733700360.399,109.2,39.08240,-75.87521,23,3,2,106,55,1,3,10,5,-31,3.842,47.2,TRUE,FALSE,FALSE,4.5401
Dec 08 2024 18:26:00.499 UTC,1733700360.499,120.5,39.08240,-75.87521,23,3,2,119,65,1,3,10,5,-31,3.842,58.5,TRUE,FALSE,FALSE,4.5401
Dec 08 2024 18:26:00.599 UTC,1733700360.599,133.2,39.08240,-75.87521,23,3,2,133,69,1,3,10,5,-31,3.842,71.2,TRUE,FALSE,FALSE,4.5401
Dec 08 2024 18:26:00.699 UTC,1733700360.699,147.3,39.08240,-75.87521,22,3,1,147,94,1,3,10,4,-31,3.842,85.3,TRUE,FALSE,FALSE,4.5401
Dec 08 2024 18:26:00.799 UTC,1733700360.799,162.7,39.08240,-75.87521,21,3,1,161,125,1,3,9,4,-31,3.842,100.7,TRUE,FALSE,FALSE,4.5401
Dec 08 2024 18:26:00.899 UTC,1733700360.899,179.6,39.08240,-75.87521,20,3,2,175,164,1,4,8,4,-31,3.842,117.6,TRUE,FALSE,FALSE,4.5401
Dec 08 2024 18:26:01.000 UTC,1733700361.0,197.9,39.08240,-75.87521,20,3,4,189,-174,1,4,8,4,-31,3.842,135.9,TRUE,FALSE,FALSE,4.5401
Dec 08 2024 18:26:01.199 UTC,1733700361.199,238.7,39.08240,-75.87521,20,3,8,218,-150,1,4,8,4,-35,3.842,176.7,TRUE,FALSE,FALSE,4.3207
Dec 08 2024 18:26:01.299 UTC,1733700361.299,261.3,39.08239,-75.87521,19,3,11,233,-144,1,4,8,4,-35,3.842,199.3,TRUE,FALSE,FALSE,4.5401
Dec 08 2024 18:26:01.399 UTC,1733700361.399,285.3,39.08239,-75.87522,19,3,14,247,-142,1,4,7,5,-35,3.842,223.3,TRUE,FALSE,FALSE,2.5713
Dec 08 2024 18:26:01.499 UTC,1733700361.499,310.9,39.08239,-75.87522,19,3,16,262,-139,1,4,7,5,-35,3.842,248.9,TRUE,FALSE,FALSE,3.5278
Dec 08 2024 18:26:01.599 UTC,1733700361.599,337.8,39.08239,-75.87523,19,3,18,276,-137,1,4,7,5,-35,3.842,275.8,TRUE,FALSE,FALSE,4.1835
Dec 08 2024 18:26:01.699 UTC,1733700361.699,366.3,39.08238,-75.87523,18,3,20,291,-135,1,4,7,4,-35,3.842,304.3,TRUE,FALSE,FALSE,5.5780
Dec 08 2024 18:26:01.799 UTC,1733700361.799,396.2,39.08238,-75.87524,18,3,23,306,-132,1,4,7,4,-35,3.842,334.2,TRUE,FALSE,FALSE,7.2995
Dec 08 2024 18:26:01.899 UTC,1733700361.899,427.5,39.08237,-75.87524,17,3,25,320,-129,1,4,7,3,-35,3.842,365.5,TRUE,FALSE,FALSE,9.4167
Dec 08 2024 18:26:02.000 UTC,1733700362.0,460.3,39.08237,-75.87525,17,3,28,335,-127,1,4,7,3,-35,3.842,398.3,TRUE,FALSE,FALSE,12.8943
Dec 08 2024 18:26:02.199 UTC,1733700362.199,530.2,39.08236,-75.87527,18,3,33,363,-125,1,4,8,3,-44,3.842,468.2,TRUE,FALSE,FALSE,17.6363
Dec 08 2024 18:26:02.299 UTC,1733700362.299,567.2,39.08235,-75.87528,18,3,35,377,-125,1,4,8,3,-44,3.842,505.2,TRUE,FALSE,FALSE,22.5567
Dec 08 2024 18:26:02.399 UTC,1733700362.399,605.6,39.08235,-75.87529,18,3,38,390,-125,1,4,9,2,-44,3.842,543.6,TRUE,FALSE,FALSE,25.0504
Dec 08 2024 18:26:02.499 UTC,1733700362.499,645.4,39.08234,-75.87530,18,3,40,403,-124,1,4,9,2,-44,3.842,583.4,TRUE,FALSE,FALSE,28.5581
Dec 08 2024 18:26:02.599 UTC,1733700362.599,686.4,39.08234,-75.87531,18,3,42,416,-124,1,3,11,1,-44,3.842,624.4,TRUE,FALSE,FALSE,32.6025
Dec 08 2024 18:26:02.699 UTC,1733700362.699,728.6,39.08233,-75.87533,18,3,45,428,-124,1,3,11,1,-44,3.842,666.6,TRUE,FALSE,FALSE,37.6771
Dec 08 2024 18:26:02.799 UTC,1733700362.799,772.1,39.08232,-75.87534,18,3,47,440,-124,1,3,11,1,-44,3.842,710.1,TRUE,FALSE,FALSE,41.1516
