UTCTIME,UNIXTIME,ALT,LAT,LON,#SATS,FIX,HORZV,VERTV,HEAD,FLAGS,>40,>32,>24,RSSI,BATT,Altitude AGL,Launch detection,Apogee detection,Landing detection,Distance (feet)
Jun 19 2024 21:46:05.499 UTC,1718855165.499,4571.4,32.93948,-106.91148,16,3,0,0,-89,3,0,9,5,-67,4.047,0.4,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:05.599 UTC,1718855165.599,4571.5,32.93948,-106.91148,16,3,0,0,170,3,0,9,5,-67,4.047,0.5,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:05.699 UTC,1718855165.699,4571.5,32.93948,-106.91148,16,3,0,0,-86,3,0,9,5,-67,4.047,0.5,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:05.799 UTC,1718855165.799,4571.6,32.93948,-106.91148,16,3,0,0,22,3,0,9,5,-67,4.047,0.6,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:05.899 UTC,1718855165.899,4571.6,32.93948,-106.91148,16,3,0,0,23,3,0,9,5,-67,4.047,0.6,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:06.000 UTC,1718855166.0,4571.6,32.93948,-106.91148,16,3,0,0,-42,3,0,9,5,-67,4.047,0.6,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:06.099 UTC,1718855166.099,4571.6,32.93948,-106.91148,16,3,0,0,143,3,0,9,5,-67,4.047,0.6,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:06.199 UTC,1718855166.199,4571.6,32.93948,-106.91148,16,3,0,0,57,3,0,9,5,-67,4.047,0.6,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:06.299 UTC,1718855166.299,4571.6,32.93948,-106.91148,16,3,0,0,66,3,0,9,5,-67,4.047,0.6,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:06.399 UTC,1718855166.399,4571.7,32.93948,-106.91148,15,3,0,0,-15,3,0,9,5,-67,4.047,0.7,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:06.499 UTC,1718855166.499,4571.7,32.93948,-106.91148,16,3,0,0,-83,3,0,9,5,-67,4.047,0.7,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:06.599 UTC,1718855166.599,4571.8,32.93948,-106.91148,16,3,0,0,-156,3,0,9,5,-67,4.047,0.8,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:06.699 UTC,1718855166.699,4571.8,32.93948,-106.91148,16,3,0,0,-173,3,0,9,5,-67,4.047,0.8,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:06.799 UTC,1718855166.799,4571.8,32.93948,-106.91148,16,3,0,0,-79,3,0,9,5,-67,4.047,0.8,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:06.899 UTC,1718855166.899,4571.9,32.93948,-106.91148,16,3,0,0,-58,3,0,9,5,-67,4.047,0.9,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:07.000 UTC,1718855167.0,4571.8,32.93948,-106.91148,16,3,0,0,38,3,0,9,5,-67,4.047,0.8,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:07.099 UTC,1718855167.099,4571.9,32.93948,-106.91148,16,3,0,0,96,3,0,9,5,-67,4.047,0.9,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:07.199 UTC,1718855167.199,4572.0,32.93948,-106.91148,16,3,0,0,-134,3,0,9,5,-67,4.047,1.0,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:07.299 UTC,1718855167.299,4571.9,32.93948,-106.91148,16,3,0,0,156,3,0,9,5,-67,4.047,0.9,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:07.399 UTC,1718855167.399,4572.0,32.93948,-106.91148,16,3,0,0,20,3,0,9,5,-67,4.047,1.0,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:07.499 UTC,1718855167.499,4572.0,32.93948,-106.91148,16,3,0,0,-162,3,0,9,5,-67,4.046,1.0,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:07.599 UTC,1718855167.599,4572.0,32.93948,-106.91148,16,3,0,0,93,3,0,9,5,-67,4.046,1.0,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:07.699 UTC,1718855167.699,4572.1,32.93948,-106.91148,16,3,0,0,113,3,0,9,5,-67,4.046,1.1,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:07.799 UTC,1718855167.799,4572.1,32.93948,-106.91148,16,3,0,0,70,3,0,9,5,-67,4.046,1.1,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:07.899 UTC,1718855167.899,4572.1,32.93948,-106.91148,16,3,0,0,11,3,0,9,5,-67,4.046,1.1,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:08.000 UTC,1718855168.0,4572.2,32.93948,-106.91148,16,3,0,0,-105,3,0,9,5,-67,4.046,1.2,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:08.099 UTC,1718855168.099,4572.3,32.93948,-106.91148,16,3,0,0,-166,3,0,9,5,-67,4.046,1.3,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:08.199 UTC,1718855168.199,4572.3,32.93948,-106.91148,16,3,0,0,52,3,0,9,5,-67,4.046,1.3,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:08.299 UTC,1718855168.299,4572.3,32.93948,-106.91148,16,3,0,0,167,3,0,9,5,-67,4.046,1.3,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:08.399 UTC,1718855168.399,4572.4,32.93948,-106.91148,16,3,0,0,-35,3,0,9,5,-67,4.046,1.4,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:08.499 UTC,1718855168.499,4572.4,32.93948,-106.91148,16,3,0,0,126,3,0,9,5,-67,4.046,1.4,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:08.599 UTC,1718855168.599,4572.5,32.93948,-106.91148,16,3,0,0,29,3,0,9,5,-67,4.046,1.5,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:08.699 UTC,1718855168.699,4572.5,32.93948,-106.91148,16,3,0,0,-167,3,0,9,5,-67,4.046,1.5,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:08.799 UTC,1718855168.799,4572.5,32.93948,-106.91148,16,3,0,0,53,3,0,9,5,-67,4.046,1.5,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:08.899 UTC,1718855168.899,4572.6,32.93948,-106.91148,16,3,0,0,-22,3,0,9,5,-67,4.046,1.6,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:09.000 UTC,1718855169.0,4572.6,32.93948,-106.91148,16,3,0,0,-139,3,0,9,5,-67,4.046,1.6,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:09.099 UTC,1718855169.099,4572.6,32.93948,-106.91148,16,3,0,0,140,3,0,9,5,-67,4.046,1.6,FALSE,FALSE,FALSE,0.4410
Jun 19 2024 21:46:09.199 UTC,1718855169.199,4574.3,32.93948,-106.91148,16,3,1,12,-48,3,0,8,6,-67,4.046,3.3,TRUE,FALSE,FALSE,2.3747
Jun 19 2024 21:46:09.299 UTC,1718855169.299,4577.0,32.93948,-106.91148,15,3,7,22,-37,3,0,6,8,-67,4.046,6.0,TRUE,FALSE,FALSE,2.3747
Jun 19 2024 21:46:09.399 UTC,1718855169.399,4581.0,32.93948,-106.91148,16,3,13,41,-37,3,0,5,9,-67,4.046,10.0,TRUE,FALSE,FALSE,2.7184
Jun 19 2024 21:46:09.499 UTC,1718855169.499,4586.9,32.93949,-106.91149,16,3,26,58,-51,3,0,5,7,-67,4.047,15.9,TRUE,FALSE,FALSE,5.4546
Jun 19 2024 21:46:09.599 UTC,1718855169.599,4596.5,32.93949,-106.91150,16,3,23,91,-50,3,0,5,7,-67,4.047,25.5,TRUE,FALSE,FALSE,8.1670
Jun 19 2024 21:46:09.699 UTC,1718855169.699,4608.8,32.93950,-106.91151,16,3,26,111,-64,3,0,5,7,-67,4.047,37.8,TRUE,FALSE,FALSE,10.8913
Jun 19 2024 21:46:09.799 UTC,1718855169.799,4623.6,32.93950,-106.91152,16,3,40,135,-39,3,0,5,7,-67,4.047,52.6,TRUE,FALSE,FALSE,15.6686
Jun 19 2024 21:46:09.899 UTC,1718855169.899,4641.2,32.93951,-106.91154,16,3,58,164,-66,3,0,5,6,-67,4.047,70.2,TRUE,FALSE,FALSE,21.1002
Jun 19 2024 21:46:10.000 UTC,1718855170.0,4668.1,32.93951,-106.91156,14,3,53,249,-72,3,0,5,5,-67,4.047,97.1,TRUE,FALSE,FALSE,28.0358
Jun 19 2024 21:46:10.099 UTC,1718855170.099,4702.9,32.93951,-106.91158,14,3,48,322,-64,3,0,5,5,-67,4.047,131.9,TRUE,FALSE,FALSE,32.8860
Jun 19 2024 21:46:10.199 UTC,1718855170.199,4745.9,32.93952,-106.91160,14,3,61,395,-73,3,0,5,5,-51,4.047,174.9,TRUE,FALSE,FALSE,39.9273
Jun 19 2024 21:46:10.299 UTC,1718855170.299,4792.3,32.93952,-106.91163,13,3,74,439,-76,3,0,5,5,-51,4.047,221.3,TRUE,FALSE,FALSE,49.2158
