State - Time (s),State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),MAX-M10S - Lat,MAX-M10S - Lon,MAX-M10S - Alt (m),MAX-M10S - Disp X (m),MAX-M10S - Disp Y (m),MAX-M10S - Disp Z (m),MAX-M10S - Fix Quality,BMI088andLIS3MDL - AccX,BMI088andLIS3MDL - AccY,BMI088andLIS3MDL - AccZ,BMI088andLIS3MDL - GyroX,BMI088andLIS3MDL - GyroY,BMI088andLIS3MDL - GyroZ,BMI088andLIS3MDL - MagX,BMI088andLIS3MDL - MagY,BMI088andLIS3MDL - MagZ,BMI088andLIS3MDL - OriX,BMI088andLIS3MDL - OriY,BMI088andLIS3MDL - OriZ,BMI088andLIS3MDL - OriW,DPS310 - Pres (hPa),DPS310 - Temp (C),DPS310 - Alt ASL (ft),DPS310 - Alt AGL (ft),MS5611 - Pres (hPa),MS5611 - Temp (C),MS5611 - Alt ASL (ft),MS5611 - Alt AGL (ft)
12.929,0,0.020,0.019,-0.068,-0.006,0.122,-0.036,0.044,0.110,0.036,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,0.963,-0.675,-9.776,0.034,-0.058,-0.147,-1200.000,300.000,349.000,-0.997,-0.058,-0.044,0.032,1008.385,18.622,40.562,-0.046,1009.100,19.180,34.589,0.526
17.929,0,0.032,0.013,-0.070,-0.063,0.156,-0.309,-0.069,0.108,-0.252,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,0.682,-0.575,-9.517,-0.026,-0.028,-0.019,-1184.000,351.000,299.000,-0.996,-0.078,-0.036,0.027,1008.363,18.675,40.746,0.020,1009.120,19.250,34.422,0.067
22.929,0,0.029,-0.007,-0.025,0.079,-0.022,-0.093,0.075,0.000,-0.053,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,0.934,-0.402,-9.704,0.045,-0.075,0.119,-1217.000,325.000,400.000,-0.996,-0.081,-0.042,0.025,1008.365,18.701,40.730,0.072,1009.140,19.330,34.255,0.117
27.929,0,0.028,0.004,0.023,-0.002,0.031,-0.113,-0.020,-0.000,-0.069,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,0.869,-0.496,-9.690,-0.006,-0.030,0.049,-1205.000,333.000,365.000,-0.997,-0.063,-0.044,0.028,1008.356,18.759,40.801,0.142,1009.100,19.360,34.589,0.376
32.929,0,0.012,0.014,-0.073,0.008,-0.117,-0.159,-0.027,-0.035,-0.140,39.0824023,-75.8752711,-3.750,-0.024,0.078,0.036,4,0.869,-0.330,-9.625,-0.053,0.036,0.011,-1244.000,305.000,347.000,-0.998,-0.031,-0.046,0.020,1008.356,18.789,40.805,0.037,1009.010,19.400,35.340,0.893
37.929,0,-0.176,0.016,0.102,0.065,0.032,-0.090,0.055,-0.006,-0.071,39.0823969,-75.8752698,-2.423,-0.190,-0.031,0.401,4,0.927,-0.496,-9.682,0.034,-0.107,-0.117,-1204.000,351.000,287.000,-0.998,-0.030,-0.044,0.027,1008.338,18.818,40.956,0.200,1009.050,19.440,35.006,0.484
42.929,0,-0.156,0.138,-0.016,0.074,0.085,-0.116,0.115,0.014,-0.061,39.0823912,-75.8752684,-1.560,-0.150,0.061,0.235,4,0.963,-0.481,-9.690,-0.009,-0.119,-0.162,-1191.000,283.000,252.000,-0.999,-0.020,-0.043,0.025,1008.349,18.856,40.860,0.030,1009.120,19.480,34.422,-0.117
47.929,0,-0.334,0.283,-0.174,-0.157,0.118,-0.137,-0.088,0.031,-0.057,39.0823843,-75.8752638,0.503,-0.372,0.268,1.409,6,0.833,-0.510,-9.704,-0.028,0.079,0.072,-1208.000,298.000,311.000,-0.998,-0.023,-0.047,0.025,1008.365,18.874,40.727,-0.073,1009.150,19.520,34.171,-0.201
52.929,0,0.077,0.065,-0.033,-0.027,-0.090,-0.127,-0.056,-0.032,-0.098,39.0823826,-75.8752559,2.648,0.075,0.133,0.113,6,0.898,-0.438,-9.661,0.004,0.072,0.064,-1204.000,319.000,246.000,-0.998,0.011,-0.049,0.024,1008.352,18.901,40.835,0.079,1009.100,19.540,34.589,-0.050
57.929,0,0.124,0.032,-0.096,0.086,-0.019,-0.168,0.085,-0.042,-0.109,39.0823854,-75.8752540,2.709,0.083,0.032,0.005,6,0.905,-0.488,-9.647,0.026,-0.126,-0.017,-1184.000,314.000,257.000,-0.997,0.056,-0.044,0.024,1008.367,18.943,40.710,-0.019,1009.120,19.570,34.422,-0.008
