"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"LED4,LED6,LED7,LED8,LED5,LED1";"5988D91127F";6;"598-8D91-127F";;;
2;"C5,C8,C10,C3,C31,C9,C4,C7,C1,C16,C23,C14,C15,C17,C6";"GRM022C81C222KE01L";15;"100nF";;;
3;"C28,C22,C21";"CAPC0603X33N";3;"1uF";;;
4;"R9,R5,R3,R8,R7,R10,R11";"R_0201_0603Metric";7;"10KR";;;
5;"R2";"R_0201_0603Metric";1;"5.1KR";;;
6;"Q3,Q2";"DMN2008LFU7";2;"DMN2008LFU-7";;;
7;"J6,J3";"Hirose_DF13-08P-1.25DSA_1x08_P1.25mm_Vertical";2;"Conn_01x08";;;
8;"C20";"GRM033D70J224ME01D";1;"4.7uF";;;
9;"J5,J4,J2";"EBAA02C";3;"EBAA-02-C";;;
10;"J1";"USB421603A";1;"USB4216-03-A";;;
11;"U1";"LQFP-100_14x14mm_P0.5mm";1;"STM32F205VBTx";;;
12;"C18,C19";"GRM033D70J224ME01D";2;"2.2uF";;;
13;"Q1";"SOT95P237X125-3N";1;"MMBT3906-TP";;;
14;"U2";"Oscillator_SMD_Kyocera_KC2520Z-4Pin_2.5x2.0mm";1;"KC2520Z";;;
15;"IC2";"SOP50P2000X120-48N";1;"MT29F8G08ABACAWP-IT_C_TR";;;
16;"U4";"SOT-223-3_TabPin2";1;"AZ1117-3.3";;;
17;"U5";"LGA-8_3x5mm_P1.25mm";1;"MS5607-02BA";;;
18;"IC1";"QFN50P500X500X155-33N-D";1;"ADXL314WBCPZ-RL";;;
19;"LS1";"CSS0578SMTTR";1;"CSS-0578-SMT-TR";;;
