Component,Mid X,Mid Y,Layer,Rotation
C1,170.015,-53.075,Bottom,180
C6,174.385,-59.325,Bottom,180
C7,189.56,-44.075,Bottom,0
C14,170.135,-49.075,Bottom,180
C15,186.635,-57.825,Bottom,0
C16,170.135,-46.575,Bottom,180
C17,175.325,-47.385,Bottom,90
C19,185.075,-55.513,Bottom,90
C21,159.75,-47.83,Bottom,270
C23,171.5,-42.31,Bottom,90
IC1,163.5,-47.775,Bottom,0
IC2,198.5,-48.15,Bottom,270
LS1,180.325,-45.325,Bottom,0
Q1,174.725,-43.625,Bottom,0
Q2,155.9,-45.95,Bottom,0
U2,174.9,-50.35,Bottom,90
U4,166.45,-37.9,Bottom,270
U5,164.5,-54.975,Bottom,0
C3,198.06,-59,Top,180
C4,162.31,-56.725,Top,180
C5,162.31,-51.4,Top,270
C8,197.75,-37.25,Top,180
C9,199.75,-56.19,Top,90
C10,197.25,-56.19,Top,90
C18,189.588,-45.075,Top,0
C20,173.575,-40.088,Top,90
C22,169.995,-54.075,Top,180
C28,169.995,-54.825,Top,180
C31,165.51,-37.9,Top,180
J1,190.155,-29.487,Top,180
J2,164.75,-30.25,Top,180
J3,171.31,-28,Top,0
J4,205.5,-48,Top,90
J5,152.75,-45.85,Top,270
J6,208,-32.25,Top,180
LED1,169.96,-58.325,Top,0
LED4,194.115,-37.75,Top,180
LED5,194.885,-51,Top,180
LED6,194.885,-47.75,Top,180
LED7,194.885,-44.5,Top,180
LED8,194.885,-41.25,Top,180
Q3,203.865,-54.5,Top,270
R2,191.56,-35.18,Top,90
R3,169.98,-56.075,Top,0
R5,170.07,-50.5,Top,180
R7,190.905,-37.75,Top,0
R8,191.5,-51,Top,0
R9,191.5,-47.75,Top,0
R10,191.75,-44.5,Top,0
R11,192,-41.75,Top,90
U1,179.575,-50,Top,0
