Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,83.54,0,0,82.41,96.40492,2.648797,0,0,0,0,0,0,86,86,0,0
0.09999999,S,0.09999999,0.04003043,0,0.4617271,0,1516.504,83.09644,0.1345467,0,82.22182,96.40492,2.684415,555.029882203101,553.51677311551,40.9554882547052,51.3251124794802,44.11564,3.287351,86,86,1.759382,0.1321398
0.2,S,0.2,0.08457711,0,0.434528,0,1484.493,82.43188,0.565088,0,82.03362,96.40492,2.720033,547.101207622744,545.607346785211,40.4024073078225,103.411700318467,98.87753,7.341658,86,86,8.917109,0.6641544
0.3,S,0.3,0.1316809,8.537582,0.6323834,1.240605,1524.227,81.76665,1.992543,4.201167,81.84544,96.40492,2.755652,566.888620134608,565.4578,40.25151,158.30907208236,154.5326,11.42817,85.99766,85.7705,21.65575,1.602712
0.3999999,S,0.3999999,0.1810951,6.176845,0.5229476,0.8992591,1586.769,81.08202,3.114159,5.661685,81.65725,96.40492,2.79127,596.318803567734,594.7981,42.55979,215.923116692378,212.4639,15.55136,85.90713,85.81368,40.26989,2.94965
0.4999998,S,0.4999998,0.2333992,4.588485,0.4673737,0.6703089,1633.957,80.3674,4.618661,6.930146,81.46906,96.40492,2.826888,620.19455610109,618.4608,46.34141,276.806880565566,273.4535,20.01229,85.66098,85.81435,64.85374,4.724813
0.5999997,S,0.5999997,0.2874623,3.340446,0.4346033,0.4913402,1662.148,79.63676,6.507045,7.639824,81.28087,96.40492,2.862507,636.804630294447,634.6759,52.02537,339.635857369562,336.2433,24.94097,85.23538,85.75784,95.63919,6.967683
0.6999996,S,0.6999996,0.3428956,2.239656,0.4138949,0.33394,1682.789,78.89539,8.804571,7.337971,81.09268,96.40492,2.898125,650.576666783765,647.7781,60.27879,404.001573352355,400.4411,30.57431,84.6273,85.63384,132.7835,9.736511
0.7999995,S,0.7999995,0.3994664,1.220641,0.4014978,0.1879468,1696.162,78.14619,11.57151,5.572639,80.90449,96.40492,2.933743,661.521685189662,657.697,71.03236,469.630471027906,465.7669,37.17246,83.86616,85.43694,176.4124,13.11486
0.8999994,S,0.8999994,0.4570344,0.2973804,0.3973979,0.05469725,1709.552,77.39104,14.96256,2.112056,80.7163,96.40492,2.969361,672.535957944995,667.2812,83.90718,536.383821187189,532.0669,44.9709,83.02329,85.16878,226.6277,17.21133
0.9999993,S,0.9999993,0.5155854,-0.4610268,0.4005587,-0.05632089,1721.763,76.62993,19.14999,-2.754518,80.52811,96.40492,3.00498,683.063864061348,676.0819,97.4141,604.234971178538,599.3018,54.10969,82.21252,84.84087,283.5249,22.15417
1.099999,S,1.099999,0.5749032,-0.9587123,0.4063513,-0.1314738,1725.223,75.8652,24.09298,-7.957474,80.33992,96.40492,3.040598,689.840611192499,681.1962,108.866,672.89663964688,667.1901,64.50472,81.5741,84.47774,347.1847,28.07553
1.199999,S,1.199999,0.6348225,-1.114418,0.4116129,-0.1587352,1728.699,75.09898,29.67359,-11.66107,80.15173,96.40492,3.076216,696.440885064124,686.6813,116.1839,742.209756349412,735.6069,75.83775,81.23732,84.11386,417.6621,35.08681
1.299999,S,1.299999,0.6953492,-0.9121576,0.4169115,-0.1346483,1734.537,74.33121,35.94845,-11.81388,79.96355,96.40492,3.111835,703.749965848241,693.8606,117.5648,812.186126229662,804.6306,87.58169,81.26653,83.78798,495.0131,43.2569
1.399999,S,1.399999,0.756673,-0.4426625,0.4135697,-0.07064768,1744.942,73.55977,42.08468,-7.306591,79.77535,96.40492,3.147453,713.150631277741,704.1428,112.99,883.053058206965,874.5742,99.13262,81.61111,83.53315,579.3145,52.59666
1.499999,S,1.499999,0.8188746,0.09555268,0.4176654,0.00649232,1752.84,72.78378,49.59322,0.7826685,79.58717,96.40492,3.183071,721.067660433125,713.4767,104.3531,954.860629137898,945.5634,109.9797,82.09357,83.36566,670.6682,63.05947
1.599999,S,1.599999,0.8812784,0.4622695,0.4396029,0.06226563,1730.641,72.0094,60.21651,8.649051,79.39898,96.40492,3.218689,714.404182210128,708.0876,94.79075,1026.68909839827,1016.708,119.8684,82.46651,83.27595,769.1415,74.55962
1.699999,S,1.699999,0.942796,0.4863954,0.4747954,0.07872194,1686.132,71.24831,74.11564,12.44588,79.21078,98.3774,3.627635,695.982361497883,690.2136,89.4239,1097.30393257568,1086.731,129.0155,82.52625,83.2296,874.6761,87.00775
1.799999,S,1.799999,1.002298,0.1319961,0.5062542,0.03144034,1632.574,70.51189,88.90794,5.585804,79.0226,101.4186,4.238854,672.452650354798,665.9498,93.29218,1165.46513223241,1154.29,138.0641,82.19124,83.17928,987.081,100.3575
1.899999,S,1.899999,1.059736,-0.2562264,0.5303228,-0.04535506,1568.814,69.8,103.6092,-8.954404,78.83441,103.711,4.708347,643.714935949082,635.6613,101.5068,1231.10962012498,1219.202,147.87,81.76837,83.0847,1106.105,114.6473
