Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,83.54,0,0,82.41,96.40492,2.648797,0,0,0,0,0,0,86,86,0,0
0.010,S,0.010,0.010,0,0.4404978,0,66.38382,83.54,0,0,82.39118,96.40492,2.652359,0,0,0,22.9438800811768,0,0,86,86,0,0
0.02,S,0.02,0.01978383,0,0.4735336,0,521.9006,83.53978,0.0337056,0,82.37237,96.40492,2.655921,168.907921986852,168.32503813875,14.0202583965055,23.1453711062366,1.68325,0.1402026,86,86,0.008416249,0.000701013
0.03,S,0.03,0.01995757,0,0.473594,0,977.4175,83.52733,0.03430457,0,82.35355,96.40492,2.659482,344.391170589635,343.388398159655,26.2618809197956,23.9009106530113,5.117134,0.4028214,86,86,0.04241817,0.003416133
0.04,S,0.04,0.02060905,0,0.4737574,0,1432.934,83.49445,0.03659331,0,82.33472,96.40492,2.663044,520.066320149259,518.638076218225,38.5165321680218,25.8720664945187,10.30351,0.7879868,86,86,0.1195214,0.009370173
0.05,S,0.05,0.02230873,0,0.4737872,0,1588.338,83.44116,0.04288065,0,82.31591,96.40492,2.666606,580.337989470716,578.763428516774,42.7209062921368,29.0273275422591,16.09114,1.215196,86,86,0.2514946,0.01938609
0.05999999,S,0.05999999,0.02502943,0,0.4729714,0,1543.667,83.37149,0.05388437,0,82.29709,96.40492,2.670168,563.606398286845,562.072466120238,41.5537605925577,32.7920191550926,21.71186,1.630734,86,86,0.4405096,0.03361574
0.06999999,S,0.06999999,0.02827563,0,0.4711399,0,1547.394,83.30203,0.06850107,0,82.27827,96.40492,2.67373,565.536958287636,563.99833858782,41.6884307621497,37.0499409357583,27.35184,2.047618,86,86,0.6858281,0.0520075
0.07999999,S,0.07999999,0.03194714,0,0.4684602,0,1558.941,83.23381,0.08694713,0,82.25945,96.40492,2.677292,570.48308544827,568.932455758595,42.033457710169,41.6830836734644,33.04116,2.467952,86,86,0.9877931,0.07458535
0.08999999,S,0.08999999,0.0359422,0,0.465198,0,1518.797,83.16469,0.109285,0,82.24063,96.40492,2.680853,555.444971377439,553.930854542056,40.9844435706024,46.4242567812197,38.58047,2.877796,86,86,1.345901,0.1013141
